fips_gridID,fips,gridID,CountyST,latitude,longitude,year,Tjfma,Tapr-may,Tan,PPTjfmam,PPTamjja,PPTjja,PPTan,pptRatioSummerWinter
04001_053128,4001,53128,apacheAZ,35.06684238,-109.659711,-9999,4.29327381,11.87118267,10.89695157,9.153714286,12.40185714,9.832428571,29.653,1.074146326
04001_053129,4001,53129,apacheAZ,35.07959304,-109.5502606,-9999,3.984695833,11.53645667,10.56937103,9.775142857,12.87657143,10.16171429,30.94471429,1.039546371
04001_053130,4001,53130,apacheAZ,35.09224165,-109.4407741,-9999,3.816174405,11.33069789,10.3863683,10.21871429,13.32385714,10.48842857,31.95042857,1.026394151
04001_053131,4001,53131,apacheAZ,35.10478816,-109.3312515,-9999,3.512004167,10.97216276,10.09082041,10.807,13.776,10.75457143,33.03814286,0.995148647
04001_053132,4001,53132,apacheAZ,35.11723251,-109.2216934,-9999,3.217019643,10.61096721,9.782667833,11.45485714,14.29928571,11.09628571,34.25585714,0.968696997
04001_053133,4001,53133,apacheAZ,35.12957467,-109.1120998,-9999,3.061190476,10.43312646,9.615545169,11.73114286,14.66414286,11.35985714,34.945,0.968350423
04001_053588,4001,53588,apacheAZ,35.14242059,-109.7851052,-9999,4.580744643,12.20394731,11.21714033,8.43,11.81942857,9.405714286,27.97542857,1.115743094
04001_053589,4001,53589,apacheAZ,35.15528698,-109.6755679,-9999,4.221249405,11.82361241,10.86407142,8.981142857,12.13557143,9.566,29.005,1.06512057
04001_053590,4001,53590,apacheAZ,35.16805125,-109.5659939,-9999,4.005819643,11.59274824,10.63663229,9.391,12.404,9.743714286,29.84528571,1.037558757
04001_053591,4001,53591,apacheAZ,35.18071336,-109.4563836,-9999,3.745201786,11.27873888,10.36082746,10.05314286,13.021,10.197,31.31557143,1.014309669
04001_053592,4001,53592,apacheAZ,35.19327326,-109.3467373,-9999,3.495905357,10.96184543,10.118989,10.61157143,13.605,10.60542857,32.57285714,0.999421117
04001_053593,4001,53593,apacheAZ,35.20573091,-109.2370552,-9999,3.265939286,10.69412646,9.879691187,11.05957143,13.91085714,10.785,33.32857143,0.975173412
04001_053594,4001,53594,apacheAZ,35.21808627,-109.1273376,-9999,2.95196369,10.35159133,9.548939214,11.55814286,14.38042857,11.10042857,34.32057143,0.960398977
04001_054049,4001,54049,apacheAZ,35.23084175,-109.8011224,-9999,4.469598214,12.13301991,11.15891068,8.19,11.44942857,9.039571429,27.06457143,1.103732775
04001_054050,4001,54050,apacheAZ,35.2437219,-109.6914613,-9999,4.264736905,11.89761124,10.94784074,8.560285714,11.751,9.239571429,27.913,1.079353159
04001_054051,4001,54051,apacheAZ,35.25649983,-109.5817635,-9999,3.943569048,11.54205386,10.6149872,9.195285714,12.25114286,9.579571429,29.29214286,1.041791601
04001_054052,4001,54052,apacheAZ,35.2691755,-109.4720293,-9999,3.6881625,11.22442974,10.34404172,9.834428571,12.88314286,10.05257143,30.79214286,1.022181549
04001_054053,4001,54053,apacheAZ,35.28174886,-109.3622588,-9999,3.470681548,10.9823911,10.13667819,10.11585714,13.24771429,10.31842857,31.46557143,1.020025137
04001_054054,4001,54054,apacheAZ,35.29421987,-109.2524525,-9999,3.161005357,10.62616745,9.811704006,10.68342857,13.764,10.68428571,32.63414286,1.000080231
04001_054055,4001,54055,apacheAZ,35.30658848,-109.1426106,-9999,2.872800595,10.31312178,9.506690642,11.18157143,14.22771429,11.00114286,33.62342857,0.983863755
04001_054510,4001,54510,apacheAZ,35.31925335,-109.8171765,-9999,4.475310714,12.17193443,11.1941429,7.962,11.13957143,8.758142857,26.288,1.099992823
04001_054511,4001,54511,apacheAZ,35.33214732,-109.7073915,-9999,4.196954167,11.8473911,10.91648184,8.393142857,11.57357143,9.046142857,27.35285714,1.077801607
04001_054512,4001,54512,apacheAZ,35.34493897,-109.5975696,-9999,3.866682738,11.47371663,10.5753665,9.003714286,12.108,9.429285714,28.783,1.047266208
04001_054513,4001,54513,apacheAZ,35.35762825,-109.4877111,-9999,3.600583333,11.18484309,10.32099705,9.314571429,12.50585714,9.716857143,29.55171429,1.043188859
04001_054514,4001,54514,apacheAZ,35.37021513,-109.3778163,-9999,3.329990476,10.87519672,10.0313541,9.842142857,13.10585714,10.19028571,30.861,1.035372669
04001_054515,4001,54515,apacheAZ,35.38269956,-109.2678855,-9999,3.036444643,10.54882319,9.724150448,10.32714286,13.64471429,10.59671429,31.96728571,1.026103195
04001_054516,4001,54516,apacheAZ,35.39508148,-109.1579189,-9999,2.851557143,10.34441569,9.529139331,10.62385714,13.94042857,10.808,32.58057143,1.017332957
04001_054517,4001,54517,apacheAZ,35.40736086,-109.0479169,-9999,2.6315,10.15251639,9.306416903,10.72685714,14.243,11.03657143,32.95814286,1.028872789
04001_054971,4001,54971,apacheAZ,35.40765558,-109.8332678,-9999,4.378377381,12.0868911,11.12571388,7.946571429,11.02885714,8.610714286,26.01685714,1.083576026
04001_054972,4001,54972,apacheAZ,35.42056342,-109.7233585,-9999,4.126369643,11.79485948,10.88099166,8.268285714,11.41842857,8.871571429,26.90642857,1.07296382
04001_054973,4001,54973,apacheAZ,35.43336885,-109.6134122,-9999,3.892270238,11.53419204,10.64339427,8.621428571,11.78471429,9.146714286,27.80485714,1.06092792
04001_054974,4001,54974,apacheAZ,35.44607181,-109.5034292,-9999,3.460600595,11.06625644,10.21594336,9.090857143,12.41871429,9.636571429,29.07628571,1.060028914
04001_054975,4001,54975,apacheAZ,35.45867226,-109.3934098,-9999,3.185172619,10.76869321,9.922823221,9.528428571,12.97342857,10.07857143,30.20442857,1.057736998
04001_054976,4001,54976,apacheAZ,35.47117016,-109.2833542,-9999,3.005822619,10.56905972,9.731459336,9.805857143,13.31542857,10.34585714,30.91128571,1.055069128
04001_054977,4001,54977,apacheAZ,35.48356545,-109.1732627,-9999,2.679983929,10.25607026,9.413816853,9.994142857,13.74757143,10.68514286,31.51042857,1.069140497
04001_054978,4001,54978,apacheAZ,35.4958581,-109.0631356,-9999,2.569074405,10.14984778,9.291267195,10.19071429,13.96,10.84185714,31.94985714,1.063895703
04001_055433,4001,55433,apacheAZ,35.50897039,-109.7393625,-9999,4.136369048,11.84077869,10.91900307,8.083142857,11.16628571,8.626571429,26.23714286,1.067229861
04001_055434,4001,55434,apacheAZ,35.52178965,-109.6292916,-9999,3.720780357,11.40540749,10.52117941,8.411571429,11.63557143,8.967142857,27.19128571,1.066048471
04001_055435,4001,55435,apacheAZ,35.53450635,-109.5191838,-9999,3.322527976,10.96835714,10.10799733,8.870428571,12.29014286,9.51,28.551,1.072101525
04001_055436,4001,55436,apacheAZ,35.54712044,-109.4090394,-9999,3.136972024,10.7727096,9.912227718,9.125428571,12.64142857,9.802571429,29.25442857,1.074203951
04001_055437,4001,55437,apacheAZ,35.55963186,-109.2988588,-9999,2.87637619,10.49673302,9.636750659,9.449,13.14642857,10.21257143,30.172,1.080809761
04001_055438,4001,55438,apacheAZ,35.57204059,-109.1886421,-9999,2.646295833,10.28446721,9.418497191,9.466285714,13.38857143,10.42314286,30.43857143,1.101080526
04001_055439,4001,55439,apacheAZ,35.58434655,-109.0783898,-9999,2.47097381,10.11236885,9.233794299,9.708285714,13.77614286,10.73528571,31.10242857,1.105785927
04001_055894,4001,55894,apacheAZ,35.59736841,-109.7554037,-9999,4.002175595,11.72401639,10.81114808,8.106714286,11.095,8.518857143,26.066,1.050839692
04001_055895,4001,55895,apacheAZ,35.61020157,-109.6452077,-9999,3.545448214,11.27984895,10.37001878,8.318428571,11.536,8.854285714,26.83514286,1.064418073
04001_055896,4001,55896,apacheAZ,35.62293206,-109.5349749,-9999,3.283825,11.00674239,10.09895329,8.557285714,11.915,9.171714286,27.61785714,1.071801806
04001_055897,4001,55897,apacheAZ,35.63555984,-109.4247053,-9999,3.009850595,10.71862881,9.813077798,8.880857143,12.46385714,9.634714286,28.60942857,1.084885629
04001_055898,4001,55898,apacheAZ,35.64808485,-109.3143993,-9999,2.864119643,10.59325176,9.673545587,8.904571429,12.66071429,9.799142857,28.762,1.100462042
04001_055899,4001,55899,apacheAZ,35.66050706,-109.2040573,-9999,2.66241131,10.37156792,9.463251272,9.090142857,13.10371429,10.193,29.52914286,1.121324512
04001_055900,4001,55900,apacheAZ,35.67282641,-109.0936793,-9999,2.565318452,10.27676815,9.361794785,9.257,13.47428571,10.51442857,30.06785714,1.13583543
